URL: localhost/search | Body: {"videoUrl":"https://www.youtube.com/watch?v=8k07lknJMos"} | Time: 20/2/2024, 12:58:31 am
URL: localhost/download | Body: {"videoUrl":"https://www.youtube.com/watch?v=8k07lknJMos","formatId":160} | Time: 20/2/2024, 12:59:22 am
URL: localhost/ | Body: {} | Time: 20/2/2024, 12:59:59 am
URL: localhost/ | Body: {} | Time: 20/2/2024, 1:00:02 am
URL: localhost/ | Body: {} | Time: 20/2/2024, 1:00:03 am
URL: localhost/ | Body: {} | Time: 20/2/2024, 1:00:03 am
URL: localhost/ | Body: {} | Time: 20/2/2024, 1:00:04 am
URL: localhost/ | Body: {} | Time: 20/2/2024, 1:00:04 am
URL: localhost/ | Body: {} | Time: 20/2/2024, 1:00:05 am
URL: localhost/ | Body: {} | Time: 20/2/2024, 1:00:05 am
URL: localhost/search | Body: {"videoUrl":"https://www.youtube.com/watch?v=8k07lknJMos"} | Time: 20/2/2024, 1:00:21 am
URL: localhost/download | Body: {"videoUrl":"https://www.youtube.com/watch?v=8k07lknJMos","formatId":160} | Time: 20/2/2024, 1:00:35 am
URL: localhost/download | Body: {"videoUrl":"https://www.youtube.com/watch?v=8k07lknJMos","formatId":278} | Time: 20/2/2024, 1:00:42 am
URL: localhost/download | Body: {"videoUrl":"https://www.youtube.com/watch?v=8k07lknJMos","formatId":133} | Time: 20/2/2024, 1:00:43 am
URL: localhost/download | Body: {"videoUrl":"https://www.youtube.com/watch?v=8k07lknJMos","formatId":160} | Time: 20/2/2024, 1:03:58 am
